first_name,last_name,role
Osamu,Tezuka,"['Story', 'Art', 'Story & Art']"
Go,Nagai,"['Story', 'Art', 'Story & Art']"
Ryuu,Sugahara,"['Story', 'Art', 'Story & Art']"
Mi Ri,Hwang,"['Story', 'Art', 'Story & Art']"
Nano,Aiuchi,['Story']
Hikaru,Wakatsuki,"['Story', 'Art', 'Story & Art']"
Haruka,Fuse,['Story']
Tasuku,Saika,['Story']
,Yuzuki N',"['Story', 'Art', 'Story & Art']"
Ken,Takeuchi,['Story']
,Ryukishi07,['Story']
,CLAMP,"['Story', 'Art', 'Story & Art']"
Bohra,Naono,"['Story', 'Art', 'Story & Art']"
Kano,Miyamoto,"['Story', 'Art', 'Story & Art']"
ISIN,NISIO,['Story']
Riyu,Yamakami,"['Story', 'Art', 'Story & Art']"
Shigeru,Mizuki,"['Story', 'Art', 'Story & Art']"
Nagano,Ueda,['Story']
Haruka,Minami,"['Story', 'Art', 'Story & Art']"
Izumi,Shimazu,['Story']
Yoshikazu,Ishiba,['Story']
Ichirou,Sakaki,['Story']
,Zero no Mono,"['Story', 'Art', 'Story & Art']"
Hajime,Yatate,['Story']
Junji,Itou,"['Story', 'Art', 'Story & Art']"
Yutaka,Aohashi,['Story']
You,Higuri,"['Story', 'Art', 'Story & Art']"
Moto,Hagio,"['Story', 'Art', 'Story & Art']"
Masara,Minase,"['Story', 'Art', 'Story & Art']"
Shin,Kibayashi,['Story']
Youko,Kagura,['Story']
Usagi,Youmou,['Art']
Yu-Rang,Han,"['Story', 'Art', 'Story & Art']"
Kazuma,Kamachi,['Story']
Shinobu,Mizushima,['Story']
,Miel,['Story']
,Nekogen,"['Story', 'Art', 'Story & Art']"
Kaiji,Kawaguchi,"['Story', 'Art', 'Story & Art']"
Kyou,Kitazawa,"['Story', 'Art', 'Story & Art']"
,DUO BRAND.,"['Story', 'Art', 'Story & Art']"
Tetsu,Habara,['Story']
Asumiko,Nakamura,"['Story', 'Art', 'Story & Art']"
Makoto,Tateno,"['Story', 'Art', 'Story & Art']"
,Atelier Kaguya,['Story']
Nase,Yamato,"['Story', 'Art', 'Story & Art']"
Haruka,Maezono,['Story']
,Variety Art Works,"['Story', 'Art', 'Story & Art']"
Kazuko,Fujita,"['Story', 'Art', 'Story & Art']"
Kougetsu,Mikazuki,['Story']
Akiko,Morishima,"['Story', 'Art', 'Story & Art']"
,Bandai-Namco,['Story']
